RESUMER ZONES HYDROTEL VERSION;4.1.2.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
260;SOUS-BASSIN;283.058838;0.027412;6;136;1.360000;-70.88335;46.35854
261;SOUS-BASSIN;251.136368;0.054943;3;176;1.760000;-70.87473;46.33547
262;SOUS-BASSIN;322.317932;0.039432;6;1384;13.840000;-70.85260;46.36455
263;SOUS-BASSIN;318.217529;0.026844;5;1062;10.620000;-70.80624;46.34967
264;SOUS-BASSIN;316.805511;0.027565;7;941;9.410000;-70.82962;46.35223
265;SOUS-BASSIN;393.625000;0.049641;7;736;7.360000;-70.81252;46.38271
266;SOUS-BASSIN;262.710846;0.027154;2;83;0.830000;-70.86189;46.32240
267;SOUS-BASSIN;275.483704;0.046512;5;184;1.840000;-70.85323;46.32430
268;SOUS-BASSIN;287.152161;0.042251;5;46;0.460000;-70.85041;46.31537
269;SOUS-BASSIN;233.145370;0.065136;1;227;2.270000;-70.92651;46.32135
270;SOUS-BASSIN;174.476196;0.055652;5;84;0.840000;-70.90179;46.32967
271;SOUS-BASSIN;232.410522;0.062700;1;95;0.950000;-70.92304;46.31644
272;SOUS-BASSIN;149.500000;0.021561;4;18;0.180000;-70.90915;46.32167
273;SOUS-BASSIN;222.824554;0.067914;2;114;1.140000;-70.91843;46.31301
274;SOUS-BASSIN;149.159424;0.019749;2;69;0.690000;-70.90053;46.31763
275;SOUS-BASSIN;210.341736;0.064105;6;357;3.570000;-70.88773;46.32415
276;SOUS-BASSIN;216.705429;0.052045;1;258;2.580000;-70.91509;46.30611
277;SOUS-BASSIN;207.550003;0.056778;3;260;2.600000;-70.90500;46.30030
278;SOUS-BASSIN;338.390106;0.042132;8;1902;19.020000;-70.97585;46.29554
279;SOUS-BASSIN;321.758698;0.034201;3;1641;16.410000;-70.97647;46.27126
280;SOUS-BASSIN;443.857147;0.072882;7;112;1.120000;-71.01846;46.29133
281;SOUS-BASSIN;469.541229;0.071168;1;194;1.940000;-71.02916;46.29019
282;SOUS-BASSIN;528.164185;0.070909;1;67;0.670000;-71.03760;46.29844
283;SOUS-BASSIN;463.182617;0.059940;7;115;1.150000;-71.03208;46.28436
284;SOUS-BASSIN;520.680664;0.058644;1;858;8.580000;-71.05603;46.28418
285;SOUS-BASSIN;539.646179;0.093804;7;65;0.650000;-71.04649;46.29222
286;SOUS-BASSIN;241.111115;0.016119;1;9;0.090000;-70.92312;46.29160
287;SOUS-BASSIN;283.171631;0.026948;3;268;2.680000;-70.91557;46.27743
288;SOUS-BASSIN;300.990967;0.038415;2;554;5.540000;-70.93085;46.27298
289;SOUS-BASSIN;222.904434;0.050388;2;743;7.430000;-70.89483;46.28726
290;SOUS-BASSIN;208.854736;0.051920;6;592;5.920000;-70.87079;46.30912
291;SOUS-BASSIN;198.488632;0.070733;5;88;0.880000;-70.85477;46.29343
292;SOUS-BASSIN;194.712646;0.042992;7;174;1.740000;-70.86032;46.29768
293;SOUS-BASSIN;265.577240;0.040793;6;123;1.230000;-70.84616;46.30657
294;SOUS-BASSIN;251.387268;0.052335;2;550;5.500000;-70.88271;46.27178
295;SOUS-BASSIN;145.846161;0.011527;5;26;0.260000;-70.87020;46.28670
296;SOUS-BASSIN;148.023804;0.009497;3;42;0.420000;-70.85223;46.28357
297;SOUS-BASSIN;185.242432;0.074029;6;132;1.320000;-70.84868;46.28904
298;SOUS-BASSIN;278.935760;0.029276;7;685;6.850000;-70.82592;46.31268
299;SOUS-BASSIN;242.035934;0.040887;7;167;1.670000;-70.83887;46.29905
